AIMed_d30@1	Isolation of human PROTEINT1 and its binding specificity with PROTEINT2
AIMed_d170@5	The phagocyte PROTEINT0 be a complex of membrane PROTEINT0 comprise of subunit PROTEINT0 and PROTEINT0 and three cytosol protein PROTEINT0 PROTEINT1 and PROTEINT0 that translocate to membrane and bind to PROTEINT2
AIMed_d170@5	The phagocyte PROTEINT0 be a complex of membrane PROTEINT0 comprise of subunit PROTEINT0 and PROTEINT0 and three cytosol protein PROTEINT0 PROTEINT0 and PROTEINT1 that translocate to membrane and bind to PROTEINT2
AIMed_d170@6	This be the first report to demonstrate that two of cytosolic component of PROTEINT0 PROTEINT1 bind to PROTEINT2 each other
AIMed_d102@1	The PROTEINT1 susceptibility gene product bind directly to the human PROTEINT0 PROTEINT0 associate factor PROTEINT2
AIMed_d102@7	Furthermore we demonstrate that PROTEINT1 bind directly to PROTEINT2 in vitro and in vivo
AIMed_d102@8	These result suggest that PROTEINT1 can confer transcriptional regulation and possibly cell cycle control and tumor suppression through an interaction with PROTEINT0 in particular with PROTEINT2
AIMed_d71@5	We present evidence that PROTEINT0 PROTEINT1 and PROTEINT0 44 specifically phosphorylate these site and that their phosphorylation positively regulate the transact activity of PROTEINT2
AIMed_d71@5	We present evidence that PROTEINT0 PROTEINT0 and PROTEINT1 44 specifically phosphorylate these site and that their phosphorylation positively regulate the transact activity of PROTEINT2
AIMed_d215@1	Induction of cell migration by PROTEINT1 cleavage of PROTEINT2
AIMed_d215@3	Specific cleavage of PROTEINT1 PROTEINT0 by PROTEINT2 PROTEINT0 be show to induce migration of breast epithelial cell
AIMed_d215@3	Specific cleavage of PROTEINT1 PROTEINT0 by PROTEINT0 PROTEINT2 be show to induce migration of breast epithelial cell
AIMed_d215@3	Specific cleavage of PROTEINT0 PROTEINT1 by PROTEINT2 PROTEINT0 be show to induce migration of breast epithelial cell
AIMed_d215@3	Specific cleavage of PROTEINT0 PROTEINT1 by PROTEINT0 PROTEINT2 be show to induce migration of breast epithelial cell
AIMed_d215@4	PROTEINT1 cleave the PROTEINT2 PROTEINT0 subunit at residue 587 expose a putative cryptic promigratory site on PROTEINT0 that trigger cell motility
AIMed_d215@6	Cleavage of PROTEINT1 by PROTEINT2 and the result activation of the PROTEINT0 cryptic site may provide new target for modulation of tumor cell invasion and tissue remodeling
AIMed_d179@1	PROTEINT1 stimulate tyrosine phosphorylation of PROTEINT2 PROTEINT0 PROTEINT0 receptor substrate 1 and its association with PROTEINT0 and the PROTEINT0
AIMed_d179@1	PROTEINT0 stimulate tyrosine phosphorylation of PROTEINT1 PROTEINT0 PROTEINT0 receptor substrate 1 and its association with PROTEINT2 and the PROTEINT0
AIMed_d179@1	PROTEINT0 stimulate tyrosine phosphorylation of PROTEINT1 PROTEINT0 PROTEINT0 receptor substrate 1 and its association with PROTEINT0 and the PROTEINT2
AIMed_d179@4	In the present study we demonstrate that PROTEINT1 stimulate tyrosine phosphorylation of PROTEINT0 PROTEINT2 PROTEINT0 the major cytoplasmic substrate of the PROTEINT0 PROTEINT0
AIMed_d179@4	In the present study we demonstrate that PROTEINT1 stimulate tyrosine phosphorylation of PROTEINT0 PROTEINT0 PROTEINT2 the major cytoplasmic substrate of the PROTEINT0 PROTEINT0
AIMed_d179@5	The PROTEINT1 induce phosphorylation of PROTEINT2 be rapid and transient occur within 30 s of treatment and diminish thereafter
AIMed_d179@7	Follow PROTEINT0 stimulation we observe a time and dose-dependent association of PROTEINT1 with the PROTEINT0 regulatory subunit of PROTEINT2 PROTEINT0
AIMed_d179@7	Follow PROTEINT0 stimulation we observe a time and dose-dependent association of PROTEINT1 with the PROTEINT0 regulatory subunit of PROTEINT0 PROTEINT2
AIMed_d179@9	We have previously report that tyrosine phosphorylation of PROTEINT1 and its association with the PROTEINT2 PROTEINT0 complex may contribute to the activation of the PROTEINT0 pathway by PROTEINT0
AIMed_d179@9	We have previously report that tyrosine phosphorylation of PROTEINT1 and its association with the PROTEINT0 PROTEINT2 complex may contribute to the activation of the PROTEINT0 pathway by PROTEINT0
AIMed_d179@9	We have previously report that tyrosine phosphorylation of PROTEINT0 and its association with the PROTEINT1 PROTEINT2 complex may contribute to the activation of the PROTEINT0 pathway by PROTEINT0
AIMed_d179@10	We report here that PROTEINT1 also interact with tyrosine-phosphorylated PROTEINT2 in response to PROTEINT0
AIMed_d105@1	Two distinct and independent site on PROTEINT1 trigger PROTEINT2 dimer formation and signalling
AIMed_d105@2	The helical cytokine PROTEINT1 and its specific binding subunit PROTEINT2 form a 1:1 complex which by promote homodimerization of the signalling subunit PROTEINT0 on the surface of target cell trigger intracellular response
AIMed_d105@6	We demonstrate here that both the site 2 and site 3 PROTEINT1 variant complexe with PROTEINT2 bind a single PROTEINT0 molecule but be unable to dimerize it whereas the combined site 2/3 variant lose the ability to interact with PROTEINT0
AIMed_d105@6	We demonstrate here that both the site 2 and site 3 PROTEINT1 variant complexe with PROTEINT0 bind a single PROTEINT2 molecule but be unable to dimerize it whereas the combined site 2/3 variant lose the ability to interact with PROTEINT0
AIMed_d105@6	We demonstrate here that both the site 2 and site 3 PROTEINT0 variant complexe with PROTEINT1 bind a single PROTEINT2 molecule but be unable to dimerize it whereas the combined site 2/3 variant lose the ability to interact with PROTEINT0
AIMed_d105@8	Immunoprecipitation experiment further reveal that the fully assemble receptor complex be compose of two PROTEINT1 two PROTEINT2 and two PROTEINT0 molecule
AIMed_d105@8	Immunoprecipitation experiment further reveal that the fully assemble receptor complex be compose of two PROTEINT1 two PROTEINT0 and two PROTEINT2 molecule
AIMed_d105@8	Immunoprecipitation experiment further reveal that the fully assemble receptor complex be compose of two PROTEINT0 two PROTEINT1 and two PROTEINT2 molecule
AIMed_d76@1	The T-cell antigen PROTEINT1 act as a receptor and substrate for the protein-tyrosine kinase PROTEINT2
AIMed_d76@2	PROTEINT1 be a T-cell-specific antigen which bind to the B-cell antigen PROTEINT2 and act as a coreceptor in the stimulation of T-cell growth
AIMed_d76@3	PROTEINT1 associate with the PROTEINT0 PROTEINT2 PROTEINT0 PROTEINT0 complex and be rapidly phosphosphorylate on tyrosine residue as a result of PROTEINT0 PROTEINT0 ligation
AIMed_d76@3	PROTEINT0 associate with the PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT2 complex and be rapidly phosphosphorylate on tyrosine residue as a result of PROTEINT0 PROTEINT0 ligation
AIMed_d76@3	PROTEINT0 associate with the PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT2 complex and be rapidly phosphosphorylate on tyrosine residue as a result of PROTEINT0 PROTEINT0 ligation
AIMed_d76@5	In this study we demonstrate that PROTEINT1 be couple to the protein-tyrosine kinase PROTEINT2 and can act as a substrate for PROTEINT0
AIMed_d76@5	In this study we demonstrate that PROTEINT1 be couple to the protein-tyrosine kinase PROTEINT0 and can act as a substrate for PROTEINT2
AIMed_d76@10	The binding of PROTEINT1 to PROTEINT2 induce a 10 to 15-fold increase in PROTEINT0 catalytic activity as measure by in vitro kinase analysis
AIMed_d76@11	In vivo labelling with 32P i also show a four to fivefold increase in Y-394 occupancy in PROTEINT1 when associate with PROTEINT2
AIMed_d76@12	The use of glutathione S-transferase-Lck fusion protein in precipitation analysis show that the SH2 domain of PROTEINT1 could recognize PROTEINT2 as express in the baculovirus expression system
AIMed_d76@13	PROTEINT1 interaction PROTEINT0 PROTEINT2 represent a novel variant of a PROTEINT0 ex in which receptor can also serve as substrate ABSTRACT TRUNCATED AT 250 WORDS
AIMed_d212@1	Interaction between PROTEINT1 protein and PROTEINT2 in response to DNA damage
AIMed_d212@4	Because cell lack the protein tyrosine kinase PROTEINT0 be also defective in radiation-induced G1 arrest we investigate the possibility that PROTEINT1 might interact with PROTEINT2 in response to radiation damage
AIMed_d212@5	Here we show that PROTEINT1 bind PROTEINT2 constitutively in control cell but not in AT cell
AIMed_d212@6	Our result demonstrate that the SH3 domain of PROTEINT1 interact with a DPAPNPPHFP motif residue 1,373-1,382 of PROTEINT2
AIMed_d212@8	These finding indicate that PROTEINT1 be involve in the activation of PROTEINT2 by DNA damage and this interaction may in part mediate radiation-induced G1 arrest
AIMed_d43@5	Although the individual amino acid in PROTEINT1 involve in binding to PROTEINT2 PROTEINT0 and those in PROTEINT0 involve in binding to PROTEINT0 have be map in this domain the Trk amino acid that provide specificity remain unclear
AIMed_d43@5	Although the individual amino acid in PROTEINT1 involve in binding to PROTEINT0 PROTEINT2 and those in PROTEINT0 involve in binding to PROTEINT0 have be map in this domain the Trk amino acid that provide specificity remain unclear
AIMed_d43@5	Although the individual amino acid in PROTEINT0 involve in binding to PROTEINT0 PROTEINT0 and those in PROTEINT1 involve in binding to PROTEINT2 have be map in this domain the Trk amino acid that provide specificity remain unclear
AIMed_d43@7	The result Trk variant recruit binding of PROTEINT1 equivalent to PROTEINT2 maintain PROTEINT0 binding equivalent to PROTEINT0 and also bind PROTEINT0 although with low affinity compare with PROTEINT0
AIMed_d43@7	The result Trk variant recruit binding of PROTEINT0 equivalent to PROTEINT0 maintain PROTEINT1 binding equivalent to PROTEINT2 and also bind PROTEINT0 although with low affinity compare with PROTEINT0
AIMed_d43@7	The result Trk variant recruit binding of PROTEINT0 equivalent to PROTEINT0 maintain PROTEINT0 binding equivalent to PROTEINT0 and also bind PROTEINT1 although with low affinity compare with PROTEINT2
AIMed_d92@2	PROTEINT1 bind independently to two transmembrane receptor the PROTEINT2 PROTEINT0 neurotrophin receptor and the PROTEINT0 PROTEINT0 PROTEINT0 which be both co-expresse in the majority of neuronal cell that respond to PROTEINT0
AIMed_d92@2	PROTEINT1 bind independently to two transmembrane receptor the PROTEINT0 PROTEINT0 neurotrophin receptor and the PROTEINT0 PROTEINT2 PROTEINT0 which be both co-expresse in the majority of neuronal cell that respond to PROTEINT0
AIMed_d220@1	Interaction between PROTEINT1 and the PROTEINT2 PROTEINT0 receptor Identification of two ligand binding domain in soluble PROTEINT0 by affinity separation and chemical cross-linking
AIMed_d220@2	The extracellular domain of the human PROTEINT1 PROTEINT0 express in Chinese hamster ovary cell be a highly glycosylate protein possess binding ability for PROTEINT2 PROTEINT0
AIMed_d220@2	The extracellular domain of the human PROTEINT1 PROTEINT0 express in Chinese hamster ovary cell be a highly glycosylate protein possess binding ability for PROTEINT0 PROTEINT2
AIMed_d220@12	These result obtain from a variety of experimental technique highlight the importance of two distinct region of the extracellular domain of the PROTEINT0 PROTEINT1 in binding PROTEINT2
AIMed_d44@1	Characterization of the PROTEINT1 binding domain on the human PROTEINT2 molecule use PROTEINT0 antibody
AIMed_d44@2	PROTEINT1 and its counter-receptor PROTEINT2 PROTEINT0 ligand PROTEINT0 be member of the PROTEINT0 superfamily and function to regulate lymphocyte survival and differentiation
AIMed_d44@2	PROTEINT1 and its counter-receptor PROTEINT0 PROTEINT0 ligand PROTEINT2 be member of the PROTEINT0 superfamily and function to regulate lymphocyte survival and differentiation
AIMed_d44@5	Use a soluble PROTEINT0 PROTEINT0 chimeric protein we assess the ability of PROTEINT0 MAb to inhibit the binding of PROTEINT1 to PROTEINT2 express by the CD30 Karpas 299 cell line
AIMed_d44@6	PROTEINT1 binding by PROTEINT2 be block by MAb that recognize epitope belong to cluster Group A like Ber-H2 Ber-H8 and HRS-4 as well as cluster Group C like HeFi-1 and M44
AIMed_d44@7	Cluster Group B antibody include M67 and Ki-1 do not affect PROTEINT1 binding to PROTEINT2
AIMed_d44@9	Finally we demonstrate that the PROTEINT0 MAb M81 also completely inhibit PROTEINT1 PROTEINT2 interaction
AIMed_d95@1	Mechanism of CDK activation reveal by the structure of a PROTEINT1 PROTEINT2 complex
AIMed_d95@2	The crystal structure of the human PROTEINT1 PROTEINT2 PROTEINT0 ATP complex have be determine at 2.3 A resolution
AIMed_d95@2	The crystal structure of the human PROTEINT1 PROTEINT0 PROTEINT2 ATP complex have be determine at 2.3 A resolution
AIMed_d137@1	The POU domain of the PROTEINT1 and PROTEINT0 transcription factor mediate specific interaction with PROTEINT2
AIMed_d137@1	The POU domain of the PROTEINT0 and PROTEINT1 transcription factor mediate specific interaction with PROTEINT2
AIMed_d137@4	By use several different experimental system we show that PROTEINT1 efficiently associate with PROTEINT2 and PROTEINT0
AIMed_d137@4	By use several different experimental system we show that PROTEINT1 efficiently associate with PROTEINT0 and PROTEINT2
AIMed_d137@7	We show that the POU homeodomain of PROTEINT1 and the evolutionarily conserve C-terminal core domain of PROTEINT2 be both require and sufficient for the interaction
AIMed_d137@8	The PROTEINT1 POU domain which be highly homologous to the PROTEINT0 POU domain likewise mediate interaction with PROTEINT2
AIMed_d137@9	The interaction can also be observe in vivo as PROTEINT1 can be co-precipitate with PROTEINT2 from co-transfected Cos1 cell and PROTEINT0 co-immunoprecipitate with the endogenous PROTEINT0 from HeLa cell
AIMed_d137@9	The interaction can also be observe in vivo as PROTEINT0 can be co-precipitate with PROTEINT0 from co-transfected Cos1 cell and PROTEINT1 co-immunoprecipitate with the endogenous PROTEINT2 from HeLa cell
AIMed_d38@1	Molecular cloning of a novel human CC chemokine PROTEINT1 that be a functional ligand of PROTEINT2
AIMed_d38@9	PROTEINT1 compete the binding of 125 PROTEINT0 to PROTEINT2 express L1.2 cell with an IC 50 of 13 nM
AIMed_d38@9	PROTEINT0 compete the binding of 125 PROTEINT1 to PROTEINT2 express L1.2 cell with an IC 50 of 13 nM
AIMed_d38@11	Collectively PROTEINT1 be yet another functional ligand for PROTEINT2
AIMed_d38@12	The potency of PROTEINT1 as a PROTEINT2 ligand seem however to be approximately 10-fold less than that of PROTEINT0
AIMed_d38@12	The potency of PROTEINT0 as a PROTEINT1 ligand seem however to be approximately 10-fold less than that of PROTEINT2
AIMed_d139@3	The self-association site appear to be form by interaction between helix 1 and 2 of PROTEINT1 repeat 17 of one dimer with helix 3 of PROTEINT2 repeat 1 of the other dimer to form two combined alpha-beta triple-helical segment
AIMed_d36@1	Molecular determinant of the interaction between the C-terminal domain of Alzheimer' PROTEINT1 and PROTEINT2 alpha-helice
AIMed_d36@3	We further demonstrate that PROTEINT1 and E3 but not PROTEINT0 can decrease the fusogenic activity of PROTEINT2 29-42 via a direct interaction
AIMed_d193@1	Physical and functional interaction between the transcriptional inhibitor PROTEINT1 and PROTEINT2 Evidence toward a novel mechanism regulate muscle-specific gene expression
AIMed_d193@2	We have use an interaction cloning strategy to identify an inhibitory isoform of the PROTEINT0 transcription factor PROTEINT1 that interact with the transcriptional inhibitor PROTEINT2 PROTEINT0
AIMed_d193@2	We have use an interaction cloning strategy to identify an inhibitory isoform of the PROTEINT0 transcription factor PROTEINT1 that interact with the transcriptional inhibitor PROTEINT0 PROTEINT2
AIMed_d193@7	Further investigation indicate that the PROTEINT1 PROTEINT2 heterodimer bind to its specific DNA binding site in vitro and the DNA binding be effectively block by PROTEINT0 PROTEINT0
AIMed_d31@7	Here we demonstrate that PROTEINT1 specifically bind two cellular ligand PROTEINT2 PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT0 PROTEINT0
AIMed_d31@7	Here we demonstrate that PROTEINT1 specifically bind two cellular ligand PROTEINT0 PROTEINT2 PROTEINT0 and PROTEINT0 PROTEINT0 PROTEINT0
AIMed_d31@7	Here we demonstrate that PROTEINT1 specifically bind two cellular ligand PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT2 PROTEINT0 PROTEINT0
AIMed_d31@7	Here we demonstrate that PROTEINT1 specifically bind two cellular ligand PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT2 PROTEINT0
AIMed_d31@7	Here we demonstrate that PROTEINT1 specifically bind two cellular ligand PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT0 PROTEINT2
AIMed_d31@10	It have be show that PROTEINT0 trigger apoptosis of various tumor cell include HT29 cell that express both PROTEINT0 PROTEINT1 receptor PROTEINT2 and PROTEINT0 PROTEINT0 receptor
AIMed_d31@11	Our datum suggest that PROTEINT0 inhibit the interaction of PROTEINT1 with PROTEINT2 PROTEINT0 and PROTEINT0 thereby suppress PROTEINT0 mediated HT29 cell death
AIMed_d31@11	Our datum suggest that PROTEINT0 inhibit the interaction of PROTEINT1 with PROTEINT0 PROTEINT2 and PROTEINT0 thereby suppress PROTEINT0 mediated HT29 cell death
AIMed_d31@11	Our datum suggest that PROTEINT0 inhibit the interaction of PROTEINT1 with PROTEINT0 PROTEINT0 and PROTEINT2 thereby suppress PROTEINT0 mediated HT29 cell death
AIMed_d142@1	Evidence for physical interaction between the zinc-finger transcription factor PROTEINT1 and PROTEINT2
AIMed_d142@8	We find that PROTEINT1 and PROTEINT2 can form a physical complex
AIMed_d142@9	In addition we identify domain within PROTEINT1 and PROTEINT2 that mediate their interaction with each other
AIMed_d142@10	The physical interaction between PROTEINT1 and PROTEINT2 may thus form the basis for the functional interplay observe previously
AIMed_d153@1	Characterization of PROTEINT1 binding to human PROTEINT2 on T cell and its biologic role in immune response
AIMed_d153@2	PROTEINT1 a T cell activation Ag also know as PROTEINT0 be directly associate with PROTEINT2 PROTEINT0 on the surface of T cell and T cell line
AIMed_d153@2	PROTEINT1 a T cell activation Ag also know as PROTEINT0 be directly associate with PROTEINT0 PROTEINT2 on the surface of T cell and T cell line
AIMed_d153@2	PROTEINT0 a T cell activation Ag also know as PROTEINT1 be directly associate with PROTEINT2 PROTEINT0 on the surface of T cell and T cell line
AIMed_d153@2	PROTEINT0 a T cell activation Ag also know as PROTEINT1 be directly associate with PROTEINT0 PROTEINT2 on the surface of T cell and T cell line
AIMed_d153@3	In the present study we examine both the binding of PROTEINT1 and PROTEINT2 and the functional consequence of this interaction
AIMed_d153@4	We find that PROTEINT1 be associate with PROTEINT2 on T cell line lack either PROTEINT0 or PROTEINT0 enzymatic activity indicate that the association between PROTEINT0 and PROTEINT0 do not require enzymatic activity
AIMed_d153@4	We find that PROTEINT0 be associate with PROTEINT0 on T cell line lack either PROTEINT0 or PROTEINT0 enzymatic activity indicate that the association between PROTEINT1 and PROTEINT2 do not require enzymatic activity
AIMed_d153@9	These datum suggest that PROTEINT0 on the cell surface be involve in an important immunoregulatory mechanism by which release PROTEINT1 bind to cell surface PROTEINT2 and this complex be capable of reduce the local concentration of adenosine
AIMed_d182@1	Structure of the PROTEINT1 oncoprotein bind to the PROTEINT2 tumor suppressor transactivation domain
AIMed_d182@2	The PROTEINT1 oncoprotein be a cellular inhibitor of the PROTEINT2 tumor suppressor in that it can bind the transactivation domain of PROTEINT0 and downregulate its ability to activate transcription
AIMed_d182@2	The PROTEINT1 oncoprotein be a cellular inhibitor of the PROTEINT0 tumor suppressor in that it can bind the transactivation domain of PROTEINT2 and downregulate its ability to activate transcription
AIMed_d182@4	The crystal structure of the 109-residue amino-terminal domain of PROTEINT1 bind to a 15-residue transactivation domain peptide of PROTEINT2 reveal that PROTEINT0 have a deep hydrophobic cleft on which the PROTEINT0 peptide bind as an amphipathic alpha helix
AIMed_d182@4	The crystal structure of the 109-residue amino-terminal domain of PROTEINT0 bind to a 15-residue transactivation domain peptide of PROTEINT0 reveal that PROTEINT1 have a deep hydrophobic cleft on which the PROTEINT2 peptide bind as an amphipathic alpha helix
AIMed_d182@5	The interface rely on the steric complementarity between the PROTEINT0 cleft and the hydrophobic face of the PROTEINT0 alpha helix and in particular on a triad of PROTEINT1 amino acids-Phe19 Trp23 and Leu26-which insert deep into the PROTEINT2 cleft
AIMed_d182@6	These same PROTEINT0 residue be also involve in transactivation support the hypothesis that PROTEINT1 inactivate PROTEINT2 by conceal its transactivation domain
AIMed_d128@4	The PROTEINT1 and PROTEINT0 receptor PROTEINT2 and PROTEINT0 respectively be single-pass transmembrane receptor from class 1 of the haematopoietic receptor superfamily
AIMed_d128@4	The PROTEINT0 and PROTEINT1 receptor PROTEINT0 and PROTEINT2 respectively be single-pass transmembrane receptor from class 1 of the haematopoietic receptor superfamily
AIMed_d128@7	In the case of PROTEINT0 activation involve receptor homodimerization in a sequential process the active ternary complex contain one ligand and two receptor molecule be form by association of a receptor molecule to an intermediate 1:1 complex PROTEINT0 do not bind to the PROTEINT0 receptor but PROTEINT1 bind to both the PROTEINT2 and PROTEINT0 and mutagenesis study have show that the receptor-binding site on PROTEINT0 overlap
AIMed_d128@7	In the case of PROTEINT0 activation involve receptor homodimerization in a sequential process the active ternary complex contain one ligand and two receptor molecule be form by association of a receptor molecule to an intermediate 1:1 complex PROTEINT0 do not bind to the PROTEINT0 receptor but PROTEINT1 bind to both the PROTEINT0 and PROTEINT2 and mutagenesis study have show that the receptor-binding site on PROTEINT0 overlap
AIMed_d128@8	We present here the crystal structure of the 1:1 complex of PROTEINT1 bind to the extracellular domain of the PROTEINT2
AIMed_d128@9	Comparison with the PROTEINT1 PROTEINT2 complex reveal how PROTEINT0 can bind to the two distinctly different receptor binding surface
AIMed_d154@8	Finally we use in vitro translate protein in an immunoprecipitation assay to show that like PROTEINT1 both beta 2 and PROTEINT0 interact with peptide encode the syntrophin-binding region of PROTEINT2 PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT0
AIMed_d154@8	Finally we use in vitro translate protein in an immunoprecipitation assay to show that like PROTEINT1 both beta 2 and PROTEINT0 interact with peptide encode the syntrophin-binding region of PROTEINT0 PROTEINT2 PROTEINT0 PROTEINT0 and the PROTEINT0
AIMed_d154@8	Finally we use in vitro translate protein in an immunoprecipitation assay to show that like PROTEINT1 both beta 2 and PROTEINT0 interact with peptide encode the syntrophin-binding region of PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT2 and the PROTEINT0
AIMed_d154@8	Finally we use in vitro translate protein in an immunoprecipitation assay to show that like PROTEINT1 both beta 2 and PROTEINT0 interact with peptide encode the syntrophin-binding region of PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT2
AIMed_d154@8	Finally we use in vitro translate protein in an immunoprecipitation assay to show that like PROTEINT0 both beta 2 and PROTEINT1 interact with peptide encode the syntrophin-binding region of PROTEINT2 PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT0
AIMed_d154@8	Finally we use in vitro translate protein in an immunoprecipitation assay to show that like PROTEINT0 both beta 2 and PROTEINT1 interact with peptide encode the syntrophin-binding region of PROTEINT0 PROTEINT2 PROTEINT0 PROTEINT0 and the PROTEINT0
AIMed_d154@8	Finally we use in vitro translate protein in an immunoprecipitation assay to show that like PROTEINT0 both beta 2 and PROTEINT1 interact with peptide encode the syntrophin-binding region of PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT2 and the PROTEINT0
AIMed_d154@8	Finally we use in vitro translate protein in an immunoprecipitation assay to show that like PROTEINT0 both beta 2 and PROTEINT1 interact with peptide encode the syntrophin-binding region of PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT2
AIMed_d185@1	PROTEINT1 recruitment by two distinct ligand-induced tyrosine-phosphorylated docking site in the PROTEINT2 PROTEINT0 receptor intracellular domain
AIMed_d185@4	In all cell test PROTEINT1 activate PROTEINT2 and PROTEINT0 and induce the formation of three distinct DNA binding complex that contain different combination of these two transcription factor
AIMed_d185@4	In all cell test PROTEINT1 activate PROTEINT0 and PROTEINT2 and induce the formation of three distinct DNA binding complex that contain different combination of these two transcription factor
AIMed_d185@5	PROTEINT1 also activate PROTEINT2 in Ba/F3 cell that stably express the murine PROTEINT0 PROTEINT0
AIMed_d185@6	Use a structure-function mutagenesis approach two tyrosine residue Tyr427 and Tyr477 in the intracellular domain of the murine PROTEINT0 PROTEINT1 be find to be redundantly require for receptor function and for activation of PROTEINT2 but not for PROTEINT0 or Stat5
AIMed_d185@9	These datum demonstrate that PROTEINT1 but not PROTEINT0 or PROTEINT0 be directly recruit to the ligand-activated PROTEINT0 PROTEINT2 by bind to specific but redundant receptor intracellular domain sequence contain phosphotyrosine
AIMed_d126@3	Use immunoprecipitation technique we have determine the rate at which PROTEINT1 and PROTEINT0 PROTEINT0 be release from PROTEINT2 in a form commit to refold to active enzyme
AIMed_d126@3	Use immunoprecipitation technique we have determine the rate at which PROTEINT0 and PROTEINT1 PROTEINT0 be release from PROTEINT2 in a form commit to refold to active enzyme
AIMed_d126@3	Use immunoprecipitation technique we have determine the rate at which PROTEINT0 and PROTEINT0 PROTEINT1 be release from PROTEINT2 in a form commit to refold to active enzyme
AIMed_d126@4	PROTEINT1 and PROTEINT0 be choose as substrate because they exhibit different solution requirement for the chaperonin system and they form stable folding arrest complex with PROTEINT2
AIMed_d126@4	PROTEINT0 and PROTEINT1 be choose as substrate because they exhibit different solution requirement for the chaperonin system and they form stable folding arrest complex with PROTEINT2
AIMed_d126@10	This suggest that PROTEINT1 must interact with PROTEINT2 throughout most of its folding reaction before it acquire a folding competent groE independent state
AIMed_d84@1	Evidence for a differential interaction of PROTEINT0 and the PROTEINT1 PROTEINT0 with the PROTEINT2 PROTEINT0 PROTEINT0 receptor in the yeast two-hybrid system
AIMed_d84@1	Evidence for a differential interaction of PROTEINT0 and the PROTEINT0 PROTEINT1 with the PROTEINT2 PROTEINT0 PROTEINT0 receptor in the yeast two-hybrid system
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT1 PROTEINT0 and the PROTEINT0 PROTEINT0 with their two know substrate PROTEINT2 and the PROTEINT0 PROTEINT0 PROTEINT0
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT1 PROTEINT0 and the PROTEINT0 PROTEINT0 with their two know substrate PROTEINT0 and the PROTEINT0 PROTEINT2 PROTEINT0
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT1 PROTEINT0 and the PROTEINT0 PROTEINT0 with their two know substrate PROTEINT0 and the PROTEINT0 PROTEINT0 PROTEINT2
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT0 PROTEINT1 and the PROTEINT0 PROTEINT0 with their two know substrate PROTEINT2 and the PROTEINT0 PROTEINT0 PROTEINT0
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT0 PROTEINT1 and the PROTEINT0 PROTEINT0 with their two know substrate PROTEINT0 and the PROTEINT0 PROTEINT2 PROTEINT0
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT0 PROTEINT1 and the PROTEINT0 PROTEINT0 with their two know substrate PROTEINT0 and the PROTEINT0 PROTEINT0 PROTEINT2
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT1 PROTEINT0 with their two know substrate PROTEINT2 and the PROTEINT0 PROTEINT0 PROTEINT0
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT1 PROTEINT0 with their two know substrate PROTEINT0 and the PROTEINT0 PROTEINT2 PROTEINT0
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT1 PROTEINT0 with their two know substrate PROTEINT0 and the PROTEINT0 PROTEINT0 PROTEINT2
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT0 PROTEINT1 with their two know substrate PROTEINT2 and the PROTEINT0 PROTEINT0 PROTEINT0
