AIMed_d30@1	NN IN JJ PROTEINT1 CC PRP$ NN NN IN PROTEINT2
AIMed_d79@1	DT PROTEINT1 NN VBZ TO PROTEINT2 DT NN NN WDT VBZ DT NN IN DT NN PROTEINT0 NN
AIMed_d167@1	DT PROTEINT1 NN NN VBZ IN PROTEINT2 CC PROTEINT0
AIMed_d167@1	DT PROTEINT1 NN NN VBZ IN PROTEINT0 CC PROTEINT2
AIMed_d167@5	VBG NN IN DT NN NN DT JJ NN VBD VBN IN PROTEINT1 CC PROTEINT2
AIMed_d167@6	IN NN DT JJ NN VBD DT JJ JJ NN VBG IN PROTEINT1 CC DT NN IN RB CD NN VBN PROTEINT2 PROTEINT0 IN CD NN
AIMed_d167@6	IN NN DT JJ NN VBD DT JJ JJ NN VBG IN PROTEINT1 CC DT NN IN RB CD NN VBN PROTEINT0 PROTEINT2 IN CD NN
AIMed_d167@7	CC DT PROTEINT1 PROTEINT2 CC DT PROTEINT0 PROTEINT0 NNS VBD JJ IN DT NN IN DT RB VBN NN NN IN PROTEINT0 DT NN IN JJ PROTEINT0 NNS
AIMed_d167@7	CC DT PROTEINT0 PROTEINT0 CC DT PROTEINT1 PROTEINT2 NNS VBD JJ IN DT NN IN DT RB VBN NN NN IN PROTEINT0 DT NN IN JJ PROTEINT0 NNS
AIMed_d167@9	PROTEINT1 DT JJ NN IN PROTEINT0 VBD RB VBN TO VB IN PROTEINT2 RB WRB DT NN VBD DT RB VBN NN NN
AIMed_d167@10	RB PRP$ NNS VBP IN CC PROTEINT1 CC PROTEINT0 VBP IN PROTEINT2 IN DT JJ NN
AIMed_d167@10	RB PRP$ NNS VBP IN CC PROTEINT0 CC PROTEINT1 VBP IN PROTEINT2 IN DT JJ NN
AIMed_d68@5	NN IN PROTEINT1 CC PROTEINT2 PROTEINT0 VBD VBN IN DT NN NNS
AIMed_d68@5	NN IN PROTEINT1 CC PROTEINT0 PROTEINT2 VBD VBN IN DT NN NNS
AIMed_d205@1	NN NN VBZ DT NN IN PROTEINT1 CC PROTEINT0 IN PROTEINT2
AIMed_d205@1	NN NN VBZ DT NN IN PROTEINT0 CC PROTEINT1 IN PROTEINT2
AIMed_d205@6	PRP VBD IN PROTEINT1 WDT VBZ TO JJ PROTEINT2 VBZ IN PROTEINT0 VBG NN NN NN
AIMed_d205@7	PROTEINT0 NN CC DT JJ PROTEINT0 NN IN PROTEINT1 VBN IN PROTEINT2 IN JJ CC RB IN JJ NNS
AIMed_d205@10	DT PROTEINT1 PROTEINT0 VBN IN PROTEINT2 CC RB IN DT NN NN IN VBN NNS
AIMed_d205@10	DT PROTEINT0 PROTEINT1 VBN IN PROTEINT2 CC RB IN DT NN NN IN VBN NNS
AIMed_d205@11	PRP VBP IN NN IN NNS IN NN VBZ DT NN IN PROTEINT1 CC PROTEINT0 TO PROTEINT2
AIMed_d205@11	PRP VBP IN NN IN NNS IN NN VBZ DT NN IN PROTEINT0 CC PROTEINT1 TO PROTEINT2
AIMed_d112@1	JJ NN NN NN PROTEINT1 VBZ IN DT NN NN PROTEINT2 PROTEINT0 CC DT PROTEINT0
AIMed_d112@1	JJ NN NN NN PROTEINT1 VBZ IN DT NN NN PROTEINT0 PROTEINT2 CC DT PROTEINT0
AIMed_d112@1	JJ NN NN NN PROTEINT1 VBZ IN DT NN NN PROTEINT0 PROTEINT0 CC DT PROTEINT2
AIMed_d112@3	RB PRP VBP IN PROTEINT1 CC PROTEINT2 IN JJ NN NNS MD VB RB
AIMed_d112@4	PROTEINT1 CC PROTEINT2 VBN IN JJ CC VBN NN NNS CC JJ PROTEINT0 CC PROTEINT0 VBN FW FW VBG PRP$ JJ NN
AIMed_d112@4	PROTEINT0 CC PROTEINT0 VBN IN JJ CC VBN NN NNS CC JJ PROTEINT1 CC PROTEINT2 VBN FW FW VBG PRP$ JJ NN
AIMed_d112@5	DT PROTEINT1 PROTEINT2 NN MD VB JJ IN DT NN IN NN NN IN PROTEINT0 PROTEINT0 NNS VBD RB VBN IN JJ CC NN NN NNS CC PROTEINT0 IN DT JJ NN NN VBD RB VB IN PROTEINT0 FW FW
AIMed_d112@5	DT PROTEINT0 PROTEINT0 NN MD VB JJ IN DT NN IN NN NN IN PROTEINT1 PROTEINT2 NNS VBD RB VBN IN JJ CC NN NN NNS CC PROTEINT0 IN DT JJ NN NN VBD RB VB IN PROTEINT0 FW FW
AIMed_d112@9	JJ NN VBD DT JJ NN VBN IN PROTEINT1 IN PROTEINT2
AIMed_d112@10	DT JJ NN VBN NN WDT VBD IN PROTEINT0 VBD DT PROTEINT1 VBN PROTEINT2 IN JJ NNS
AIMed_d112@11	RB PROTEINT1 MD VB IN DT NN IN PROTEINT2 CC PROTEINT0 VBG DT NN NN NN TO DT NN NN
AIMed_d112@11	RB PROTEINT1 MD VB IN DT NN IN PROTEINT0 CC PROTEINT2 VBG DT NN NN NN TO DT NN NN
AIMed_d112@11	RB PROTEINT0 MD VB IN DT NN IN PROTEINT1 CC PROTEINT2 VBG DT NN NN NN TO DT NN NN
AIMed_d169@5	PRP VBP VBN DT NN VBG DT PROTEINT1 NN NN PROTEINT2 IN DT NN JJ JJ NN NN NN
AIMed_d169@8	NN NNS VBN IN DT PROTEINT1 NN VBP PROTEINT2 IN JJ NN CC VBP RB VB PROTEINT0
AIMed_d66@3	PROTEINT1 VBD JJ NNS IN DT PROTEINT2 NN VBG IN PRP VBD IN NN IN VBG IN DT PROTEINT0 NN
AIMed_d66@3	PROTEINT1 VBD JJ NNS IN DT PROTEINT0 NN VBG IN PRP VBD IN NN IN VBG IN DT PROTEINT2 NN
AIMed_d66@6	PROTEINT1 VBN IN NN NN VBD CC VBD DT PROTEINT2 NN IN NNS IN JJ NN NNS CC NNS IN PROTEINT0 VBD DT NN NN NN IN NN NNS
AIMed_d66@7	DT NNS IN PROTEINT1 CC PROTEINT2 CC PROTEINT0 MD VB JJ IN DT NN TO NN NN IN JJ NNS
AIMed_d66@7	DT NNS IN PROTEINT1 CC PROTEINT0 CC PROTEINT2 MD VB JJ IN DT NN TO NN NN IN JJ NNS
AIMed_d202@1	JJ NN IN DT PROTEINT1 PROTEINT0 VBN IN PROTEINT2
AIMed_d202@5	DT NN IN PROTEINT1 CC PROTEINT0 TO PROTEINT2 VBZ DT JJ NN IN PROTEINT0 NN NN CC VBG DT NN MD RB VB DT JJ NN IN DT NN IN JJ NNS
AIMed_d202@5	DT NN IN PROTEINT0 CC PROTEINT1 TO PROTEINT2 VBZ DT JJ NN IN PROTEINT0 NN NN CC VBG DT NN MD RB VB DT JJ NN IN DT NN IN JJ NNS
AIMed_d202@6	RB PRP VBP DT JJ NN IN PROTEINT1 VBD TO DT JJ NN IN PROTEINT2 PROTEINT0 IN CD DT NN
AIMed_d202@6	RB PRP VBP DT JJ NN IN PROTEINT1 VBD TO DT JJ NN IN PROTEINT0 PROTEINT2 IN CD DT NN
AIMed_d202@7	PROTEINT1 VBZ TO PROTEINT2 IN DT CD NN
AIMed_d202@8	DT JJ NN VBZ IN PROTEINT1 VBZ IN CD JJ NNS WDT VBP IN PROTEINT2 IN DT NN JJ IN DT NNS IN RB VBN NN NNS
AIMed_d115@1	NN IN PROTEINT1 NN IN PROTEINT0 VBZ VBN IN JJ NN IN PROTEINT2
AIMed_d115@4	VBG DT NN NN NN PRP VBP IN PROTEINT1 VBZ DT PROTEINT2 NN IN PROTEINT0 CC IN PROTEINT0 VBZ JJ NN NN VBZ DT NN VBN IN DT NN
AIMed_d115@7	DT NN IN PROTEINT1 PROTEINT2 NN IN JJ NN VBZ IN PROTEINT0 VBZ DT JJ NN IN PROTEINT0 VBN NN
AIMed_d115@7	DT NN IN PROTEINT0 PROTEINT0 NN IN JJ NN VBZ IN PROTEINT1 VBZ DT JJ NN IN PROTEINT2 VBN NN
AIMed_d82@3	RB DT JJ NN WDT RB VBZ IN PROTEINT1 NN VBZ VBN VBN CC PRP$ JJ NN VBZ VBN VBN IN CC JJ VBN PROTEINT2 NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP CD NNP NNP CD CD CC NN VBN PROTEINT0 NNP NNP NN NN NNP NNP NNP NNP NNP NNP CD NNP CD CD
AIMed_d82@5	VBG DT FW FW NN NN NN VBN IN NN NNS PRP VBP VBN DT JJ PROTEINT1 JJ NN IN PROTEINT2
AIMed_d120@1	JJ NN IN DT NN PROTEINT1 TO PROTEINT2
AIMed_d120@8	NN NNS VBD VBN TO VB DT NN IN PROTEINT1 IN JJ NN NNS TO DT PROTEINT2 NN NN
AIMed_d120@9	PROTEINT1 RB VBD VBN TO VB IN PROTEINT2 IN NN NNS CC TO VB IN PROTEINT0 IN NN NNS IN JJ JJ NNS
AIMed_d120@10	DT NNS RB VBP JJ NN IN NN PROTEINT1 TO PROTEINT2 CC VBP IN PROTEINT0 MD VB IN DT JJ NN CC JJ NN IN NN PROTEINT0
AIMed_d120@10	DT NNS RB VBP JJ NN IN NN PROTEINT0 TO PROTEINT0 CC VBP IN PROTEINT1 MD VB IN DT JJ NN CC JJ NN IN NN PROTEINT2
AIMed_d53@3	NNS JJ NN VBZ DT JJ NN IN JJ PROTEINT1 PROTEINT0 WDT VBZ JJ PROTEINT2
AIMed_d53@3	NNS JJ NN VBZ DT JJ NN IN JJ PROTEINT0 PROTEINT1 WDT VBZ JJ PROTEINT2
AIMed_d53@4	IN DT CD NN JJ NN IN DT JJ NN NN IN JJ PROTEINT1 CC JJ PROTEINT2 CD NNS VBP JJ IN DT NN IN JJ NNS IN DT NN NN IN PROTEINT0 CC NN CD IN JJ PROTEINT0 WDT VBZ JJ IN NN NN
AIMed_d53@4	IN DT CD NN JJ NN IN DT JJ NN NN IN JJ PROTEINT0 CC JJ PROTEINT0 CD NNS VBP JJ IN DT NN IN JJ NNS IN DT NN NN IN PROTEINT1 CC NN CD IN JJ PROTEINT2 WDT VBZ JJ IN NN NN
AIMed_d53@5	IN JJ PROTEINT1 WDT VBZ JJ JJ NNS DT JJ NN RB VBZ JJ JJ NNS TO VB PROTEINT2 WDT VBZ DT NN IN DT JJ PROTEINT0 PROTEINT0 NN NNS
AIMed_d53@5	IN JJ PROTEINT0 WDT VBZ JJ JJ NNS DT JJ NN RB VBZ JJ JJ NNS TO VB PROTEINT0 WDT VBZ DT NN IN DT JJ PROTEINT1 PROTEINT2 NN NNS
AIMed_d85@1	PROTEINT1 RB VBZ IN PROTEINT2 IN NN NN CD NNS
AIMed_d85@4	NNS FW FW CC FW FW VBD DT RB JJ NN IN DT NN NNS IN PROTEINT1 CC PROTEINT2
AIMed_d85@7	DT JJ PROTEINT1 NN VBN IN DT NN IN PROTEINT2 VBD VBN TO VB DT JJ NN NN
AIMed_d127@1	NN IN PROTEINT1 CC NN NN NNS IN PROTEINT2 CC PROTEINT0 NNS IN NN CC NN
AIMed_d127@1	NN IN PROTEINT1 CC NN NN NNS IN PROTEINT0 CC PROTEINT2 NNS IN NN CC NN
AIMed_d127@5	PROTEINT1 CC PROTEINT0 VBN IN PROTEINT2 CC NN NN RB PROTEINT0 VBD PROTEINT0 PROTEINT0 CC VBN PROTEINT0 SYM NN NNS
AIMed_d127@5	PROTEINT0 CC PROTEINT1 VBN IN PROTEINT2 CC NN NN RB PROTEINT0 VBD PROTEINT0 PROTEINT0 CC VBN PROTEINT0 SYM NN NNS
AIMed_d127@5	PROTEINT0 CC PROTEINT0 VBN IN PROTEINT0 CC NN NN RB PROTEINT0 VBD PROTEINT1 PROTEINT2 CC VBN PROTEINT0 SYM NN NNS
AIMed_d54@1	PROTEINT1 PROTEINT0 DT JJ NN NN WDT VBZ TO PROTEINT2 CC NN NN
AIMed_d54@1	PROTEINT0 PROTEINT1 DT JJ NN NN WDT VBZ TO PROTEINT2 CC NN NN
AIMed_d54@5	NN NN CC NN NNS IN NNS VBG CC PROTEINT0 CC SYM NNS VBP DT JJ NN NN IN JJ NN PROTEINT1 TO PROTEINT2 NNS CC PROTEINT0 NN NNS
AIMed_d54@5	NN NN CC NN NNS IN NNS VBG CC PROTEINT0 CC SYM NNS VBP DT JJ NN NN IN JJ NN PROTEINT1 TO PROTEINT0 NNS CC PROTEINT2 NN NNS
AIMed_d28@3	PRP VBP VBN DT JJ JJ NN VBN JJ PROTEINT1 PROTEINT0 PROTEINT2 CC PRP$ JJ NN PROTEINT0 DT NN IN DT RB VBN JJ PROTEINT0 PROTEINT0 CD
AIMed_d28@3	PRP VBP VBN DT JJ JJ NN VBN JJ PROTEINT0 PROTEINT1 PROTEINT0 CC PRP$ JJ NN PROTEINT2 DT NN IN DT RB VBN JJ PROTEINT0 PROTEINT0 CD
AIMed_d28@3	PRP VBP VBN DT JJ JJ NN VBN JJ PROTEINT0 PROTEINT0 PROTEINT1 CC PRP$ JJ NN PROTEINT2 DT NN IN DT RB VBN JJ PROTEINT0 PROTEINT0 CD
AIMed_d129@12	DT NNS RB VBP PROTEINT1 IN NN IN PROTEINT2 IN DT NNS VBN CC MD VB VBN TO NN JJ NN NN NNS IN NN NN NN
AIMed_d184@1	PROTEINT1 VBN NN IN JJ NN PROTEINT2 NNS IN DT NN NN PROTEINT0
AIMed_d184@3	RB PRP VBP IN DT NN IN PROTEINT1 DT JJ NN NN IN JJ JJ NN CC JJ PROTEINT2 VBZ RB IN PROTEINT0 CC VBZ DT NN IN DT JJ PROTEINT0 NNS PROTEINT0 CC PROTEINT0 NNS CD CD
AIMed_d184@3	RB PRP VBP IN DT NN IN PROTEINT1 DT JJ NN NN IN JJ JJ NN CC JJ PROTEINT0 VBZ RB IN PROTEINT2 CC VBZ DT NN IN DT JJ PROTEINT0 NNS PROTEINT0 CC PROTEINT0 NNS CD CD
AIMed_d184@3	RB PRP VBP IN DT NN IN PROTEINT0 DT JJ NN NN IN JJ JJ NN CC JJ PROTEINT1 VBZ RB IN PROTEINT2 CC VBZ DT NN IN DT JJ PROTEINT0 NNS PROTEINT0 CC PROTEINT0 NNS CD CD
AIMed_d184@4	DT JJ NN IN DT NN IN PROTEINT1 CC PROTEINT2 VBD RB JJR IN DT NN IN JJ PROTEINT0
AIMed_d184@5	RB IN DT NN IN PROTEINT0 DT NN IN DT JJ PROTEINT1 NN CC PROTEINT2 VBD VBN
AIMed_d184@6	DT PROTEINT1 NN VBG DT PROTEINT2 VBG NN CC VBG NNS VBD JJ TO VB IN PROTEINT0 RB IN DT NN NN WDT MD VB NN NN CC NN NN NN VBD RB JJ IN DT NN
AIMed_d184@6	DT PROTEINT1 NN VBG DT PROTEINT0 VBG NN CC VBG NNS VBD JJ TO VB IN PROTEINT2 RB IN DT NN NN WDT MD VB NN NN CC NN NN NN VBD RB JJ IN DT NN
AIMed_d184@7	VBG NNS VBN IN CC PROTEINT0 VBN CC NN NNS IN PROTEINT0 VBD DT NN IN PROTEINT1 PROTEINT2 NNS IN PROTEINT0
AIMed_d184@7	VBG NNS VBN IN CC PROTEINT0 VBN CC NN NNS IN PROTEINT0 VBD DT NN IN PROTEINT1 PROTEINT0 NNS IN PROTEINT2
AIMed_d184@7	VBG NNS VBN IN CC PROTEINT0 VBN CC NN NNS IN PROTEINT0 VBD DT NN IN PROTEINT0 PROTEINT1 NNS IN PROTEINT2
AIMed_d152@1	PROTEINT1 PROTEINT2 CC PROTEINT0 PROTEINT0 NNS VBP CD JJ PROTEINT0 NN NN NNS
AIMed_d152@1	PROTEINT0 PROTEINT0 CC PROTEINT1 PROTEINT2 NNS VBP CD JJ PROTEINT0 NN NN NNS
AIMed_d152@4	RB PRP VBP IN PROTEINT1 RB VBZ IN PROTEINT2 CC PROTEINT0 NN NNS WDT VBP PROTEINT0 CC VB NN RB
AIMed_d152@4	RB PRP VBP IN PROTEINT1 RB VBZ IN PROTEINT0 CC PROTEINT2 NN NNS WDT VBP PROTEINT0 CC VB NN RB
AIMed_d152@4	RB PRP VBP IN PROTEINT0 RB VBZ IN PROTEINT1 CC PROTEINT0 NN NNS WDT VBP PROTEINT2 CC VB NN RB
AIMed_d152@4	RB PRP VBP IN PROTEINT0 RB VBZ IN PROTEINT0 CC PROTEINT1 NN NNS WDT VBP PROTEINT2 CC VB NN RB
AIMed_d183@1	DT JJ NN NN PROTEINT1 VBZ PROTEINT2 IN DT PROTEINT0 JJ NN
AIMed_d183@2	PROTEINT1 DT NN IN DT NN NN NN VBD VBN TO VB RB IN PROTEINT2 DT JJ NN IN DT PROTEINT0 PROTEINT0 NN NN NN
AIMed_d183@3	PROTEINT1 CC JJ JJ NNS WDT VBP VBN TO VB PROTEINT0 PROTEINT2 VBD RB VBN TO VB PROTEINT0 PROTEINT0 NN IN PROTEINT0 IN JJ NNS
AIMed_d183@3	PROTEINT0 CC JJ JJ NNS WDT VBP VBN TO VB PROTEINT0 PROTEINT0 VBD RB VBN TO VB PROTEINT0 PROTEINT1 NN IN PROTEINT2 IN JJ NNS
AIMed_d183@4	IN DT NN NN NN PROTEINT1 VBD VBN IN PROTEINT2 IN DT NN IN PROTEINT0
AIMed_d183@5	IN DT NNS DT JJ NN IN PROTEINT1 PROTEINT2 CC PROTEINT0 VBD VBN
AIMed_d183@7	IN NN PROTEINT1 VBD PROTEINT2 IN NNS JJ IN DT VBN IN PROTEINT0
AIMed_d183@7	IN NN PROTEINT0 VBD PROTEINT1 IN NNS JJ IN DT VBN IN PROTEINT2
AIMed_d183@8	IN JJ NNS VBN IN CC NN CC NN DT JJ NN IN PROTEINT1 VBN IN PROTEINT2 IN NNS IN NNS IN WDT PROTEINT0 VBD VBN IN VBN IN PRP$ NN IN NN NN
AIMed_d183@9	VBN RB DT NNS VBP IN PROTEINT1 CC PROTEINT2 VBP TO VB PROTEINT0
AIMed_d177@9	PRP VBP VBN JJ NNS IN DT NN NN PROTEINT1 WDT VBP PRP$ NN TO VB IN PROTEINT2
AIMed_d78@7	RB PRP VBP IN PROTEINT1 RB VBZ CD JJ NNS PROTEINT2 PROTEINT0 CC PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0
AIMed_d78@7	RB PRP VBP IN PROTEINT1 RB VBZ CD JJ NNS PROTEINT0 PROTEINT2 CC PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0
AIMed_d78@7	RB PRP VBP IN PROTEINT1 RB VBZ CD JJ NNS PROTEINT0 PROTEINT0 CC PROTEINT0 PROTEINT2 PROTEINT0 PROTEINT0
AIMed_d78@7	RB PRP VBP IN PROTEINT1 RB VBZ CD JJ NNS PROTEINT0 PROTEINT0 CC PROTEINT0 PROTEINT0 PROTEINT2 PROTEINT0
AIMed_d78@7	RB PRP VBP IN PROTEINT1 RB VBZ CD JJ NNS PROTEINT0 PROTEINT0 CC PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT2
AIMed_d78@10	PRP VBZ VBN VBN IN PROTEINT0 VBZ NN IN JJ NN NNS VBG NN NNS WDT VBP CC PROTEINT0 PROTEINT1 NN PROTEINT2 CC PROTEINT0 PROTEINT0 NNS
AIMed_d78@11	PRP$ NNS VBP IN PROTEINT0 VBZ DT NNS IN PROTEINT1 IN PROTEINT2 PROTEINT0 CC PROTEINT0 RB VBG PROTEINT0 VBN NN NN NN
AIMed_d78@11	PRP$ NNS VBP IN PROTEINT0 VBZ DT NNS IN PROTEINT1 IN PROTEINT0 PROTEINT2 CC PROTEINT0 RB VBG PROTEINT0 VBN NN NN NN
AIMed_d78@11	PRP$ NNS VBP IN PROTEINT0 VBZ DT NNS IN PROTEINT1 IN PROTEINT0 PROTEINT0 CC PROTEINT2 RB VBG PROTEINT0 VBN NN NN NN
AIMed_d170@5	DT NN PROTEINT0 VBZ DT NN IN NN PROTEINT0 VBN IN NNS PROTEINT1 CC PROTEINT2 CC CD NN NNS PROTEINT0 PROTEINT0 CC PROTEINT0 WDT VBP TO NN CC VBP TO PROTEINT0
AIMed_d170@5	DT NN PROTEINT0 VBZ DT NN IN NN PROTEINT0 VBN IN NNS PROTEINT0 CC PROTEINT0 CC CD NN NNS PROTEINT1 PROTEINT2 CC PROTEINT0 WDT VBP TO NN CC VBP TO PROTEINT0
AIMed_d170@5	DT NN PROTEINT0 VBZ DT NN IN NN PROTEINT0 VBN IN NNS PROTEINT0 CC PROTEINT0 CC CD NN NNS PROTEINT1 PROTEINT0 CC PROTEINT0 WDT VBP TO NN CC VBP TO PROTEINT2
AIMed_d170@5	DT NN PROTEINT0 VBZ DT NN IN NN PROTEINT0 VBN IN NNS PROTEINT0 CC PROTEINT0 CC CD NN NNS PROTEINT0 PROTEINT1 CC PROTEINT0 WDT VBP TO NN CC VBP TO PROTEINT2
AIMed_d170@5	DT NN PROTEINT0 VBZ DT NN IN NN PROTEINT0 VBN IN NNS PROTEINT0 CC PROTEINT0 CC CD NN NNS PROTEINT0 PROTEINT0 CC PROTEINT1 WDT VBP TO NN CC VBP TO PROTEINT2
AIMed_d170@6	DT VBZ DT JJ NN TO VB IN CD IN JJ NNS IN PROTEINT0 PROTEINT1 VBG TO PROTEINT2 DT JJ
AIMed_d102@1	DT PROTEINT1 NN NN NN VBZ RB TO DT JJ PROTEINT0 PROTEINT0 VBN NN PROTEINT2
AIMed_d102@7	RB PRP VBP IN PROTEINT1 VBZ RB TO PROTEINT2 FW FW CC FW FW
AIMed_d102@8	DT NNS VBP IN PROTEINT1 MD VB JJ NN CC RB NN NN NN CC NN NN IN DT NN IN PROTEINT0 IN JJ IN PROTEINT2
AIMed_d71@5	PRP VBP NN IN PROTEINT0 PROTEINT1 CC PROTEINT0 CD RB VB DT NNS CC IN PRP$ NN RB VBZ DT VBG NN IN PROTEINT2
AIMed_d71@5	PRP VBP NN IN PROTEINT0 PROTEINT0 CC PROTEINT1 CD RB VB DT NNS CC IN PRP$ NN RB VBZ DT VBG NN IN PROTEINT2
AIMed_d215@1	NN IN NN NN IN PROTEINT1 NN IN PROTEINT2
AIMed_d215@3	JJ NN IN PROTEINT1 PROTEINT0 IN PROTEINT2 PROTEINT0 VBD VBN TO VB NN IN NN JJ NNS
AIMed_d215@3	JJ NN IN PROTEINT1 PROTEINT0 IN PROTEINT0 PROTEINT2 VBD VBN TO VB NN IN NN JJ NNS
AIMed_d215@3	JJ NN IN PROTEINT0 PROTEINT1 IN PROTEINT2 PROTEINT0 VBD VBN TO VB NN IN NN JJ NNS
AIMed_d215@3	JJ NN IN PROTEINT0 PROTEINT1 IN PROTEINT0 PROTEINT2 VBD VBN TO VB NN IN NN JJ NNS
AIMed_d215@4	PROTEINT1 VBD DT PROTEINT2 PROTEINT0 NN IN NN CD VBG DT JJ JJ JJ NN IN PROTEINT0 WDT VBZ NN NN
AIMed_d215@6	NN IN PROTEINT1 IN PROTEINT2 CC DT VBG NN IN DT PROTEINT0 JJ NN MD VB JJ NNS IN NN IN NN NN NN CC NN NN
AIMed_d179@1	PROTEINT1 VBZ NN NN IN PROTEINT2 PROTEINT0 PROTEINT0 NN NN CD CC PRP$ NN IN PROTEINT0 CC DT PROTEINT0
AIMed_d179@1	PROTEINT0 VBZ NN NN IN PROTEINT1 PROTEINT0 PROTEINT0 NN NN CD CC PRP$ NN IN PROTEINT2 CC DT PROTEINT0
AIMed_d179@1	PROTEINT0 VBZ NN NN IN PROTEINT1 PROTEINT0 PROTEINT0 NN NN CD CC PRP$ NN IN PROTEINT0 CC DT PROTEINT2
AIMed_d179@4	IN DT JJ NN PRP VBP IN PROTEINT1 VBZ NN NN IN PROTEINT0 PROTEINT2 PROTEINT0 DT JJ JJ NN IN DT PROTEINT0 PROTEINT0
AIMed_d179@4	IN DT JJ NN PRP VBP IN PROTEINT1 VBZ NN NN IN PROTEINT0 PROTEINT0 PROTEINT2 DT JJ JJ NN IN DT PROTEINT0 PROTEINT0
AIMed_d179@5	DT PROTEINT1 VBN NN IN PROTEINT2 VBD JJ CC JJ VBG IN CD NN IN NN CC VBG RB
AIMed_d179@7	VBG PROTEINT0 NN PRP VBD DT NN CC JJ NN IN PROTEINT1 IN DT PROTEINT0 JJ NN IN PROTEINT2 PROTEINT0
AIMed_d179@7	VBG PROTEINT0 NN PRP VBD DT NN CC JJ NN IN PROTEINT1 IN DT PROTEINT0 JJ NN IN PROTEINT0 PROTEINT2
AIMed_d179@9	PRP VBP RB VBN IN NN NN IN PROTEINT1 CC PRP$ NN IN DT PROTEINT2 PROTEINT0 NN MD VB TO DT NN IN DT PROTEINT0 NN IN PROTEINT0
AIMed_d179@9	PRP VBP RB VBN IN NN NN IN PROTEINT1 CC PRP$ NN IN DT PROTEINT0 PROTEINT2 NN MD VB TO DT NN IN DT PROTEINT0 NN IN PROTEINT0
AIMed_d179@9	PRP VBP RB VBN IN NN NN IN PROTEINT0 CC PRP$ NN IN DT PROTEINT1 PROTEINT2 NN MD VB TO DT NN IN DT PROTEINT0 NN IN PROTEINT0
AIMed_d179@10	PRP VBP RB IN PROTEINT1 RB VBZ IN JJ PROTEINT2 IN NN TO PROTEINT0
AIMed_d105@1	CD JJ CC JJ NNS IN PROTEINT1 NN PROTEINT2 NN NN CC NN
AIMed_d105@2	DT JJ NN PROTEINT1 CC PRP$ JJ NN NN PROTEINT2 VBP DT CD NN WDT IN VBG NN IN DT NN NN PROTEINT0 IN DT NN IN NN NNS VBZ JJ NNS
AIMed_d105@6	PRP VBP RB IN CC DT NN CD CC NN CD PROTEINT1 NNS VBN IN PROTEINT2 VBP DT JJ PROTEINT0 NN CC VBP JJ TO VB PRP IN DT JJ NN CD NNS VBP DT NN TO VB IN PROTEINT0
AIMed_d105@6	PRP VBP RB IN CC DT NN CD CC NN CD PROTEINT1 NNS VBN IN PROTEINT0 VBP DT JJ PROTEINT2 NN CC VBP JJ TO VB PRP IN DT JJ NN CD NNS VBP DT NN TO VB IN PROTEINT0
AIMed_d105@6	PRP VBP RB IN CC DT NN CD CC NN CD PROTEINT0 NNS VBN IN PROTEINT1 VBP DT JJ PROTEINT2 NN CC VBP JJ TO VB PRP IN DT JJ NN CD NNS VBP DT NN TO VB IN PROTEINT0
AIMed_d105@8	NN NNS RB VBP IN DT RB VBN NN NN VBZ VBN IN CD PROTEINT1 CD PROTEINT2 CC CD PROTEINT0 NNS
AIMed_d105@8	NN NNS RB VBP IN DT RB VBN NN NN VBZ VBN IN CD PROTEINT1 CD PROTEINT0 CC CD PROTEINT2 NNS
AIMed_d105@8	NN NNS RB VBP IN DT RB VBN NN NN VBZ VBN IN CD PROTEINT0 CD PROTEINT1 CC CD PROTEINT2 NNS
AIMed_d76@1	DT NN NN PROTEINT1 VBZ IN DT NN CC NN IN DT JJ NN PROTEINT2
AIMed_d76@2	PROTEINT1 VBZ DT JJ NN WDT VBZ TO DT NN NN PROTEINT2 CC VBZ IN DT NN IN DT NN IN NN NN
AIMed_d76@3	PROTEINT1 VBZ IN DT PROTEINT0 PROTEINT2 PROTEINT0 PROTEINT0 NN CC VBZ RB VBN IN NN NNS IN DT NN IN PROTEINT0 PROTEINT0 NN
AIMed_d76@3	PROTEINT0 VBZ IN DT PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT2 NN CC VBZ RB VBN IN NN NNS IN DT NN IN PROTEINT0 PROTEINT0 NN
AIMed_d76@3	PROTEINT0 VBZ IN DT PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT2 NN CC VBZ RB VBN IN NN NNS IN DT NN IN PROTEINT0 PROTEINT0 NN
AIMed_d76@5	IN DT NN PRP VBP IN PROTEINT1 VBZ VBN TO DT JJ NN PROTEINT2 CC MD VB IN DT NN IN PROTEINT0
AIMed_d76@5	IN DT NN PRP VBP IN PROTEINT1 VBZ VBN TO DT JJ NN PROTEINT0 CC MD VB IN DT NN IN PROTEINT2
AIMed_d76@10	DT NN IN PROTEINT1 TO PROTEINT2 VBD DT CD TO JJ NN IN PROTEINT0 JJ NN IN VBN IN FW FW NN NN
